date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/4 7:00,-12.41792862,-11.91497373,-9.765793005,38.66819711,3.297751039,78.429794,-70.07752,-87.573135,-22.797934,4.873796,134.52322,0.0,281.9606,11.570209,13.524197,12.838209,1.0
2019/1/4 8:00,-12.2580368,-11.78593098,-9.524170896,39.02235516,7.878445228,65.48181,-75.179924,-72.573135,-22.797934,2.3989103,368.9952,0.0,583.38464,24.518192,13.524197,12.838209,1.0
2019/1/4 9:00,-12.04889742,-11.60739684,-9.19914288,39.41006923,11.94935807,52.238377,-79.82621,-57.57314,-22.797934,1.63021,603.05743,0.0,860.8845,37.761623,13.524197,12.838209,1.0
2019/1/4 10:00,-11.78846691,-11.3770729,-8.786622477,39.83191076,14.48097428,38.803207,-84.42024,-42.57314,-22.797934,1.282093,805.779,0.0,1095.5491,51.196793,13.524197,12.838209,1.0
2019/1/4 11:00,-11.47470171,-11.09266073,-8.282523204,40.28845118,17.13393291,25.259798,-89.738144,-27.573137,-22.797934,1.1051472,959.17236,0.0,1271.3865,64.740204,13.524197,12.838209,1.0
2019/1/4 12:00,-11.10555822,-10.75186191,-7.682758581,40.78026192,17.32340471,11.737018,-99.41548,-12.573137,-22.797934,1.0209831,1051.1962,0.0,1376.4133,78.262985,13.524197,12.838209,1.0
2019/1/4 13:00,-10.6789929,-10.35237801,-6.983242125,41.30791444,16.59011229,3.30203,137.33458,2.4268625,-22.797934,1.001357,1074.9413,0.0,1403.4727,86.69797,13.524197,12.838209,1.0
2019/1/4 14:00,-10.19296215,-9.891910609,-6.179887355,41.87198015,16.5115691,16.092588,95.104,17.426863,-22.797934,1.040362,1028.6613,0.0,1350.7201,73.90741,13.524197,12.838209,1.0
2019/1/4 15:00,-9.645422417,-9.368161286,-5.268607789,42.4730305,11.12034488,29.648726,87.845276,32.42686,-22.797934,1.1499519,915.77673,0.0,1221.7507,60.351276,13.524197,12.838209,1.0
2019/1/4 16:00,-9.034330119,-8.778831615,-4.245316945,43.11163692,5.047601938,43.166363,82.907036,47.42686,-22.797934,1.3696097,744.8505,0.0,1025.3536,46.833637,13.524197,12.838209,1.0
2019/1/4 17:00,-8.357641687,-8.121623173,-3.105928342,43.78837086,2.830401431,56.549038,78.35045,62.42686,-22.797934,1.8101013,529.6613,0.0,774.913,33.450962,13.524197,12.838209,1.0
2019/1/4 18:00,-7.613313547,-7.394237536,-1.846355499,44.50380373,1.37515912,69.70993,73.596085,77.426865,-22.797934,2.863991,290.88858,0.0,487.49585,20.290068,13.524197,12.838209,1.0
2019/1/4 19:00,-6.799302129,-6.594376281,-0.462511934,45.25850699,0.243292081,82.533104,68.26824,92.426865,-22.797934,7.2959847,70.41397,0.0,182.68922,7.4668946,13.524197,12.838209,1.0
2019/1/4 20:00,-5.913563859,-5.719740983,1.049688836,46.05305207,-0.021649123,94.844986,61.971878,107.426865,-22.797934,40.0,0.0,0.0,0.0,-4.8449893,13.524197,12.838209,0.0
2019/1/4 21:00,-4.954055166,-4.768033218,2.694333291,46.88801041,-0.021493075,106.370995,54.195328,122.426865,-22.797934,40.0,0.0,0.0,0.0,-16.370995,13.524197,12.838209,0.0
2019/1/4 22:00,-3.917348782,-3.661752741,4.159444412,47.03998184,-0.021418835,116.665504,44.25927,137.42686,-22.797934,40.0,0.0,0.0,0.0,-26.665503,13.524197,12.838209,0.0
2019/1/4 23:00,-2.882453779,-2.419640571,4.566388845,44.6173226,-0.021389723,125.01986,31.402987,152.42686,-22.797934,40.0,0.0,0.0,0.0,-35.01986,13.524197,12.838209,0.0
2019/1/5 0:00,-2.173095107,-2.00340116,4.773333371,42.94926135,-0.021232934,130.50642,15.44845,-192.68143,-22.695894,40.0,0.0,0.0,0.0,-40.506424,13.516501,12.845428,0.0
2019/1/5 1:00,-1.87057213,-1.839728048,4.324722211,42.73337555,-0.02144958,132.00581,-2.8790388,-177.68143,-22.695894,40.0,0.0,0.0,0.0,-42.00581,13.516501,12.845428,0.0
2019/1/5 2:00,-2.032096277,-1.93231082,4.639166733,42.4062074,-0.021396592,129.20218,-20.756796,-162.68143,-22.695894,40.0,0.0,0.0,0.0,-39.202183,13.516501,12.845428,0.0
2019/1/5 3:00,-1.813611507,-1.742392932,4.332460267,42.06150328,-0.021225898,122.72608,-35.894405,-147.68143,-22.695894,40.0,0.0,0.0,0.0,-32.72608,13.516501,12.845428,0.0
2019/1/5 4:00,-2.071535249,-1.9007924,3.936666648,40.93803819,-0.021387897,113.64889,-47.764378,-132.68143,-22.695894,40.0,0.0,0.0,0.0,-23.64889,13.516501,12.845428,0.0
2019/1/5 5:00,-1.60632875,-1.484262097,3.550166631,40.44369621,-0.021459169,102.890434,-56.939396,-117.681435,-22.695894,40.0,0.0,0.0,0.0,-12.890431,13.516501,12.845428,0.0
2019/1/5 6:00,17.85440156,15.7888061,2.7611111,40.2386961,0.2926228,91.06727,-64.186554,-102.681435,-22.695894,40.0,0.0,0.0,0.0,-1.0672699,13.516501,12.845428,0.0
2019/1/5 7:00,122.7429482,103.3339675,2.751666685,41.54438559,2.480205864,78.56135,-70.134155,-87.681435,-22.695894,4.926455,132.30891,0.44027698,278.78574,11.438653,13.516501,12.845428,1.0
2019/1/5 8:00,466.4904276,372.3283895,3.613333344,45.73899555,7.878491481,65.6089,-75.251396,-72.681435,-22.695894,2.4105124,366.6392,0.8035716,580.5213,24.3911,13.516501,12.845428,1.0
